,Year,Location,Experiment,Genotype,Species,PlantID_ReplicateNumber,Plot,Replicate,Test_Type,Tester_Name,Planting_Date,Testing_Date,force_N,raw_data_file,Additional_Notes,displacement_mm,displacement_m,line_raw_slope_N.m
37,2021,Newark,Repeat Testing 2,CML258,Maize,965-1-TEST1,965,1,A,JR,5/20/21,8/13/21,93,965-1-TEST1_08_13_2021_15_25_48.xls,TEST1,11.8,0.0118,6223.33838
45,2021,Newark,Repeat Testing 2,CML258,Maize,965-1-TEST1,965,1,B,JR,5/20/21,8/13/21,86.92,965-1-TEST1_08_13_2021_15_26_16.xls,TEST1,11.8,0.0118,7798.28057
53,2021,Newark,Repeat Testing 2,CML258,Maize,965-1-TEST1,965,1,C,JR,5/20/21,8/13/21,87.51,965-1-TEST1_08_13_2021_15_26_38.xls,TEST1,11.8,0.0118,8084.9528
93,2021,Newark,Repeat Testing 2,CML258,Maize,965-1-TEST2,965,1,A,JR,5/20/21,8/13/21,82.7,965-1-TEST2_08_13_2021_15_27_30.xls,TEST2,11.8,0.0118,5764.73687
101,2021,Newark,Repeat Testing 2,CML258,Maize,965-1-TEST2,965,1,B,JR,5/20/21,8/13/21,86.23,965-1-TEST2_08_13_2021_15_27_51.xls,TEST2,11.8,0.0118,7148.01544
109,2021,Newark,Repeat Testing 2,CML258,Maize,965-1-TEST2,965,1,C,JR,5/20/21,8/13/21,83.68,965-1-TEST2_08_13_2021_15_28_14.xls,TEST2,11.8,0.0118,7656.21621
117,2021,Newark,Repeat Testing 2,CML258,Maize,965-1-TEST2,965,1,D,JR,5/20/21,8/13/21,74.56,965-1-TEST2_08_13_2021_15_30_21.xls,TEST2,11.8,0.0118,7171.89103
157,2021,Newark,Repeat Testing 2,CML258,Maize,965-1-TEST3,965,1,A,JR,5/20/21,8/13/21,80.93,965-1-TEST3_08_13_2021_15_31_49.xls,TEST3,11.8,0.0118,6812.60801
165,2021,Newark,Repeat Testing 2,CML258,Maize,965-1-TEST3,965,1,B,JR,5/20/21,8/13/21,103.99,965-1-TEST3_08_13_2021_15_32_15.xls,TEST3,11.8,0.0118,7429.0791
173,2021,Newark,Repeat Testing 2,CML258,Maize,965-1-TEST3,965,1,C,JR,5/20/21,8/13/21,105.07,965-1-TEST3_08_13_2021_15_32_42.xls,TEST3,11.8,0.0118,8257.68355
213,2021,Newark,Repeat Testing 2,CML258,Maize,965-2-TEST1,965,2,A,JR,5/20/21,8/13/21,88.19,965-2-TEST1_08_13_2021_15_33_48.xls,TEST1,11.8,0.0118,6725.31859
221,2021,Newark,Repeat Testing 2,CML258,Maize,965-2-TEST1,965,2,B,JR,5/20/21,8/13/21,95.06,965-2-TEST1_08_13_2021_15_34_13.xls,TEST1,11.8,0.0118,7815.40361
229,2021,Newark,Repeat Testing 2,CML258,Maize,965-2-TEST1,965,2,C,JR,5/20/21,8/13/21,92.31,965-2-TEST1_08_13_2021_15_34_36.xls,TEST1,11.8,0.0118,8121.47117
269,2021,Newark,Repeat Testing 2,CML258,Maize,965-2-TEST2,965,2,A,JR,5/20/21,8/13/21,111.64,965-2-TEST2_08_13_2021_15_35_45.xls,TEST2,11.8,0.0118,6315.72872
277,2021,Newark,Repeat Testing 2,CML258,Maize,965-2-TEST2,965,2,B,JR,5/20/21,8/13/21,98,965-2-TEST2_08_13_2021_15_36_11.xls,TEST2,11.8,0.0118,8576.43735
285,2021,Newark,Repeat Testing 2,CML258,Maize,965-2-TEST2,965,2,C,JR,5/20/21,8/13/21,94.67,965-2-TEST2_08_13_2021_15_36_39.xls,TEST2,11.8,0.0118,8784.79459
325,2021,Newark,Repeat Testing 2,CML258,Maize,965-2-TEST3,965,2,A,JR,5/20/21,8/13/21,106.83,965-2-TEST3_08_13_2021_15_38_15.xls,TEST3,11.8,0.0118,5507.3419
333,2021,Newark,Repeat Testing 2,CML258,Maize,965-2-TEST3,965,2,B,JR,5/20/21,8/13/21,93.78,965-2-TEST3_08_13_2021_15_38_39.xls,TEST3,11.8,0.0118,7248.33186
341,2021,Newark,Repeat Testing 2,CML258,Maize,965-2-TEST3,965,2,C,JR,5/20/21,8/13/21,89.27,965-2-TEST3_08_13_2021_15_39_05.xls,TEST3,11.8,0.0118,7393.32568
